# rmse: 0.13902 GPa       mae: 0.10629 GPa
#  True Stress           Predicted Stress
   1.59057653900491469123     1.53752691932624374616
   1.33212309951975305111     1.40719386405399204953
   1.50884751821018059381     1.48825574942246596777
  -0.43003856286491987104    -0.60459991406622093368
   0.86388790921174030135     0.92602383246854114152
   0.44375204819285241076     0.41893714470346038459
   0.36324153110868695471     0.42106895443991693151
   0.27361420251367862821     0.33408324964961749748
   0.40487141156572198364     0.46104729736583494049
  -0.04654826042507735628    -0.07635783353097730375
   0.17564941951236542894     0.20223463030630112192
   0.44877945538244573553     0.56269523199127569058
   1.12347467562615910275     1.18756072195621942278
   1.13363936867107839568     1.16144125091261818383
   1.04122163712843174288     1.23454851809452037514
  -0.57950853573303195976    -0.66996155315455896417
  -0.08828116680496833624    -0.10880453142088954144
   0.37102737031125399003     0.38268959426786575140
  -0.63984314733772318373    -0.82185908047547395761
  -0.21811833848604633701    -0.40289164989887726875
  -0.43104948660224334800    -0.65128759918189349509
  -0.54454681364522794507    -0.63401296669925366611
  -0.39331040596234156936    -0.43679246553617834259
   0.73107674185773940945     0.89799684575601967929
  -0.06768927759057624671    -0.16672935546625267111
  -0.15445197195694615466    -0.14122725078481671024
  -0.22960300214479115177    -0.27547202751582144931
   1.24239148313454395023     1.50333844065786648159
  -0.35988818851432274881    -0.46600576592007009191
  -0.26334922617294675984    -0.39269843063809550809
   2.04907468837758255376     2.06998475223387679023
   2.35886357465298690528     2.24108358629427062425
   2.14875295277933409110     2.21218931083186731712
   0.34300423573874805339     0.67578080331033019146
  -1.31659385504494474972    -1.67637782891072961711
  -0.24185614684135878227    -0.01689127931187427156
  -0.33719779831209639731    -0.47969200674539386187
  -0.28830176322835843195    -0.47968446802532177520
  -0.18867893390358045358    -0.29877924658921972689
   0.35282824225313291766     0.48768268645044404730
  -0.01697381620693465959     0.00494494617563569650
   0.32711489274752897360     0.21179894008154737106
   1.14477974496122980597     1.18398352433235110048
   1.14681990701788305564     1.23960949836517797529
   1.37963023967140063775     1.35571828499650304245
  -1.07824512806650441021    -1.33537452331073991374
  -0.11103382276128398454    -0.19974794791910086000
   0.05760707813037535541     0.08773559563015530249
   1.51156523742222237416     1.64519945328343952795
   1.31232485690280609170     1.57137812763456108378
   1.64563311167512127398     1.77872120445014192391
   1.47514899918144681834     1.86599878060807955471
   0.36938194413228986335     0.42038870523481158825
   0.36545235564862316169     0.37625367168251638850
   0.22442644482407098083     0.31575561663062656770
   0.23553862401318645392     0.31652518202777868428
   0.24085390907037376729     0.32416997680192061182
   0.07747989272367926394     0.09832087923809271213
   0.00157934093865673723    -0.00187230166104414416
   0.13355074283274009916     0.18059258075228457052
