# True epot [eV]          MLIP epot [eV]
   0.964073229155099      0.910095730655623
   0.936247418248824      0.925845356462373
   1.138515729551907      1.123045883257557
   1.089603639272431      1.071353416625101
   0.850008308820627      0.866392231026854
   1.532872975367173      1.517363758569569
   1.241147418287495      1.257652795194179
   1.321784543586420      1.306084343540256
   1.394270762135751      1.391839966691229
   1.501419300720737      1.467607819892706
   1.046867461396717      1.058491293251375
   0.935398759091038      0.929214522266268
   1.002414309734503      0.998396858640231
   0.933627081051512      0.953531596800236
   1.008725018698803      1.002001551803154
   1.712752180393297      1.653991419241141
   0.955549584734843      0.958673213246964
   1.338674574660491      1.346263829530709
   1.362352733759563      1.377687474131040
