# rmse: 0.00044 eV/at,    mae: 0.00028 eV/at
#  True Energy           Predicted Energy
   0.04357096131674220718     0.04356614167841266205
   0.04691935314752304631     0.04682320931050276691
   0.03271460816864740773     0.03303529076999811576
   0.02923121122159494378     0.02910193600292343419
   0.03132544717920321409     0.03148811180116084518
   0.02917584628285974091     0.02981955596519714202
   0.03152265683433758126     0.03150487037887794717
   0.05352350563729052491     0.05237307101518251518
   0.02986092452296384980     0.02993193892101175813
   0.04183358045814034032     0.04203396892604127633
